,Title,Budget,Movie ID,Revenue
1012,Hit & Run,2000000,109513,14400000
1022,U Turn,19000000,10155,6682098
1039,Raise Your Voice,15000000,14024,14867514
1040,The Bucket List,45000000,7350,175372502
1046,District 9,30000000,17654,210819611
1047,Kicking & Screaming,45000000,9981,56070433
1055,Charlie and the Chocolate Factory,150000000,118,474968763
1061,Cloudy with a Chance of Meatballs,100000000,22794,242988466
1066,Love and Monsters,30000000,590223,0
1073,Takers,32000000,22907,69055695
1074,Hoodwinked Too! Hood VS. Evil,30000000,57089,13521829
1077,Atlantics,1600000,496967,0
1086,The Island,126000000,1635,162949164
1093,The Score,68000000,11371,113579918
1096,Defiance,32000000,13813,51155219
1100,The Irishman,159000000,398978,8000000
1103,Operation Red Sea,70000000,460555,579220560
1118,Awake,86000000,13483,14373825
1119,Popeye,20000000,11335,49823037
1127,Charlotte's Web,85000000,9986,144000000
1128,End of Watch,7000000,77016,48126384
1131,The Time Machine,80000000,2135,123729176
1134,The Deep End,5500,736690,0
1135,Brother Bear,128000000,10009,250397798
1149,Just Mercy,25000000,522212,50401502
1151,K-19: The Widowmaker,100000000,8665,35168966
1162,Adore,16000000,111190,1575749
1165,Beavis and Butt-Head Do America,12000000,3179,0
1168,Black Snake Moan,15000000,7874,10903846
1172,Evolution,80000000,9397,98376292
1173,Eye for an Eye,20000000,17182,26877589
1181,She's Out of My League,20000000,34016,49779728
1183,The Adventures of Tintin,130000000,17578,371940071
1184,The Devil Inside,1000000,76487,101758490
1185,The First Wives Club,26000000,2925,116400000
1186,The Gift,10000000,2046,12008642
1187,"The Goods: Live Hard, Sell Hard",10000000,19905,0
1188,The Longest Yard,82000000,9291,190320568
1189,The Love Guru,62000000,12177,40854735
1190,The Rainmaker,40000000,11975,45916769
1191,What's Eating Gilbert Grape,11000000,1587,10032765
1193,World Trade Center,65000000,1852,163247198
1194,Young Adult,12000000,57157,22939027
1195,"Yours, Mine & Ours",45000000,13499,72028752
1196,Zodiac,65000000,1949,84785914
1200,Sabrina,2238813,6620,10000000
1201,Target Number One,138000,526973,0
1205,A Fairly Odd Summer,5000000,282728,0
1207,Big Time Movie,3004000,95754,0
1208,Don't Be Afraid of the Dark,25000000,46261,36993168
1209,Escape from Mr. Lemoncello's Library,5000000,476549,0
1211,Jinxed,5000000,246569,0
1213,"Liar, Liar, Vampire",3500000,363807,0
1214,Shark Night 3D,28000000,65055,10126458
1222,The Other Side of the Wind,12000000,299782,0
1233,Divines,2791874,393729,0
1234,La niña de la mina,1200000,398702,0
1245,Mudbound,10000000,414425,0
1250,Iron Sky: The Coming Race,21000000,302349,400900
1252,Suffragette,14000000,245168,16002420
1253,The Green Inferno,5000000,171424,6833445
1262,9,30000000,12244,48428063
1274,Leap Year,19000000,25195,29922472
1279,The Breakfast Club,1000000,2108,51525171
1297,The Crew,3600000,14575,0
1298,Jack the Giant Slayer,195000000,81005,197687603
1318,Warrior,25000000,59440,23057115
1323,Green Room,5000000,313922,3220371
1325,A Single Man,7000000,34653,24964890
1331,True Memoirs of an International Assassin,40000000,339396,0
1339,Orca: The Killer Whale,6000000,12707,14717854
1343,16 Blocks,55000000,2207,65664721
1347,Immortal,24665810,5552,0
1348,American History X,20000000,73,23875127
1350,Anger Management,75000000,9506,195745823
1354,Cat on a Hot Tin Roof,3000000,261,17570324
1359,Code Name: The Cleaner,20000000,14396,10337477
1360,Doctor Zhivago,11000000,907,111858363
1363,Enter the Dragon,10000000,9461,0
1365,Executive Decision,55000000,2320,121969216
1366,Angel Has Fallen,40000000,423204,146661977
1367,Fear and Loathing in Las Vegas,18500000,1878,10680275
1369,Forbidden Planet,1900000,830,3250000
1371,Gigi,3319355,17281,0
1372,Gosford Park,19800000,5279,87754044
1373,Gothika,40000000,4970,141591324
1374,Grease,6000000,621,181813770
1382,Invictus,60000000,22954,122233971
1385,Legion,26000000,22894,67918658
1386,Like Water for Chocolate,2000000,18183,21665468
1388,Logan's Run,9000000,10803,25000000
1389,Lolita,62000000,9769,1060056
1390,Love Jones,10000000,27322,0
1394,Monster House,75000000,9297,140175006
1395,Mutiny on the Bounty,19000000,11085,13680000
1396,Nacho Libre,35000000,9353,99255460
1398,Ocean's Eleven,85000000,161,450717150
1401,Rebel Without a Cause,1500000,221,4500000
1402,Revolutionary Road,35000000,4148,75225693
1403,Rosemary's Baby,3200000,805,33395426
1404,Rounders,12000000,10220,22921898
1405,Rumble in the Bronx,7500000,33542,32392047
1407,Sling Blade,1000000,12498,24444121
1408,Sparkle,14000000,88036,24637469
1409,Spider-Man 3,258000000,559,890871626
1410,Spitfire,1050000,524377,0
1411,Step Brothers,65000000,12133,128107642
1412,SuperFly,16000000,500475,20545116
1413,The Brave One,70000000,4413,69766619
1416,The Game,50000000,2649,109423648
1417,The Great Raid,80000000,13922,10166502
1420,The Last Boy Scout,29000000,9319,59509925
1422,The Matrix,63000000,603,463517383
1423,The Matrix Reloaded,150000000,604,738599701
1424,The Matrix Revolutions,150000000,605,424988211
1426,The Pelican Brief,45000000,9944,195268056
1427,The Tuxedo,60000000,10771,104391623
1430,Vantage Point,40000000,7461,151161491
1433,Wild Child,20000000,13971,21972336
1435,Zombieland,23600000,19908,102391540
1436,A Wednesday!,1400000,19703,3500000
1438,Aamir,364000,13123,0
1443,Barfi!,4437508,127501,2804874
1459,Get Shorty,30250000,8012,115101622
1462,The Grandmaster,3860000,44865,64076736
1466,Husbands in Goa,500000,154366,1550000
1478,Oye Lucky! Lucky Oye!,1400000,15975,1700000
1480,Raja Natwarlal,5,287859,4
1489,The Water Horse,40000000,54318,103071443
1490,Transcendence,100000000,157353,103039258
1535,Spanish Affair 2,4500000,348537,38482411
1536,The Interview,44000000,228967,12342632
1538,Chuck Leavell: The Tree Man,1000000,757400,0
1547,Insidious,1500000,49018,97009150
1559,The Secret of My Success,12000000,10021,110996879
1562,The Hobbit: The Desolation of Smaug,250000000,57158,958400000
1571,The Ghost Writer,45000000,11439,60331447
1572,What If,11000000,212716,7847000
1578,The Wandering Earth,48000000,535167,0
1579,War Horse,66000000,57212,177584879
1592,Anon,20000000,396806,0
1594,End Game,5000000,9727,0
1602,C Kkompany,31000,20295,0
1617,My Week with Marilyn,6400000,75900,35057696
1630,Cheaper by the Dozen 2,60000000,9641,129181830
1631,Undercover Brother,25000000,12277,41604473
1634,Beyond Rangoon,23000000,1873,14700000
1637,The Nutcracker and the Four Realms,120000000,426543,59522646
1638,After Porn Ends 2,500000,440249,0
1645,Sara's Notebook,1000000,449019,0
1649,Raees,46000000,363343,0
1650,War Machine,60000000,354287,0
1658,Detour,30,20367,0
1661,Joy,60000000,274479,101134059
1664,What If,11000000,212716,7847000
1684,Moonlight,4000000,376867,65046687
1686,Cube Zero,825000,438,0
1690,John Carter,250000000,49529,284139100
1692,Olympus Has Fallen,70000000,117263,161025640
1725,Even the Rain,10600000,53596,0
1729,Limitless,27000000,51876,161849455
1734,Take Me Home Tonight,19000000,50725,6928068
1736,Action Replayy,10000000,49679,5000000
1739,Christine,9700000,8769,21200000
1740,The Place Beyond the Pines,15000000,97367,35485608
1744,Cake,7000000,284276,2360281
1753,Once Upon a Time in Mumbaai,19000000,42966,8300000
1754,Shootout at Lokhandwala,11000000,20742,12000000
1756,Aiyaary,9150000,493620,41000000
1759,Only God Forgives,4800000,77987,10337387
1767,Ram Jaane,520000,160242,2100000
1775,Deadly Revisions,100000,300902,0
1778,The Hunt,14000000,514847,8621288
1792,The Great Magician,15000000,83721,0
1793,The Jungle Book,175000000,278927,966550600
1808,Aiyyaa,1200000,137180,2500000
1809,Bbuddah Hoga Terra Baap,2230000,69774,0
1810,Gabbar Is Back,11000000,337876,41000000
1811,Madras Cafe,5400000,215776,6500000
1812,Michael Clayton,25000000,4566,92991835
1820,John Wick: Chapter 3 - Parabellum,55000000,458156,326709727
1828,Snowpiercer,39200000,110415,86758912
1829,Sur Sapata,500000,599318,0
1830,Teenage Mutant Ninja Turtles,125000000,98566,477200000
1831,The Dark Crystal,15000000,11639,40577001
1840,CIA: Comrade In America,1400000,439601,3900000
1841,Coffee for All,125000,521753,78000
1867,"Love, Simon",17000000,449176,66316289
1875,Waiting...,3000000,7553,18637690
1879,Abby Sen,186135,452346,0
1881,Bombay Talkies,11000000,190940,2700000
1882,Like a Boss,29000000,526019,26925979
1890,English Babu Desi Mem,20000000,160255,39000000
1897,Inkaar,850000,161468,1600000
1900,Kiss Kiss Bang Bang,15000000,5236,15785148
1903,Mary Kom,224056,284288,15536328
1910,Pyaar Ka Punchnama,1400000,65521,7200000
1916,Special 26,7100000,165904,18000000
1917,Tanu Weds Manu,400000,58333,252000
1920,Yamla Pagla Deewana 2,6800000,199687,0
1922,Palm Trees in the Snow,11332619,274109,0
1924,Apollo 18,5000000,50357,25562924
1926,Collateral,65000000,1538,217764291
1928,The Outsider,4000000,241765,0
1929,Match Point,15000000,116,85306374
1935,After.Life,4500000,36419,3606395
1937,Blue Jasmine,18000000,160588,99206215
1941,Hajwala 2: Mysterious Mission,300000,588904,0
1942,Immortals,75000000,37958,226904017
1947,Spy Kids 2: The Island of Lost Dreams,38000000,9488,119723358
1949,The Imaginarium of Doctor Parnassus,30000000,8054,64352607
1953,Ladies First,450000,492184,0
1954,The Waterboy,23000000,10663,185991646
